state_code,county_name,town,precinct_name,precinct_id,GC_Polling_Place
WI,ADAMS,TOWN OF ADAMS,ADAMS - TOWN OF ADAMS - WARD 003,1578837,"ADAMS TOWN HALL, 1980 11TH AVE, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF JACKSON,ADAMS - TOWN OF JACKSON - WARD 001,414040,"JACKSON TOWN HALL, 398 STATE ROAD 82, OXFORD, WI, 53952"
WI,ADAMS,TOWN OF STRONGS PRAIRIE,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 002,416086,"STRONGS PRAIRIE TOWN HALL, 1588 STATE HWY 21, ARKDALE, WI, 54613"
WI,ADAMS,TOWN OF QUINCY,ADAMS - TOWN OF QUINCY - WARD 001,416153,"QUINCY TOWN HALL, 2599 COUNTY ROAD Z, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 001,417008,"ROME MUNICIPAL BUILDING, 1156 ALPINE DR, NEKOOSA, WI, 54457"
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 005,417245,NA
WI,ADAMS,TOWN OF LINCOLN,ADAMS - TOWN OF LINCOLN - WARD 001,417640,"LINCOLN TOWN HALL, 2181 COUNTY ROAD G, GRAND MARSH, WI, 53936"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 003,415452,"WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND, 2100 BEASER AVE, ASHLAND, WI, 54806"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 008,415764,"BRETTING COMMUNITY CENTER, 400 4TH AVE W, ASHLAND, WI, 54806"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 005,415790,"WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND, 2100 BEASER AVE, ASHLAND, WI, 54806"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 009,415946,"BRETTING COMMUNITY CENTER, 400 4TH AVE W, ASHLAND, WI, 54806"
WI,ASHLAND,TOWN OF ASHLAND,ASHLAND - TOWN OF ASHLAND - WARD 001,416350,"ASHLAND TOWN HALL, 39227 STATE HIGHWAY 13, HIGH BRIDGE, WI, 54846"
WI,ASHLAND,TOWN OF MARENGO,ASHLAND - TOWN OF MARENGO - WARD 001,417771,"MARENGO TOWN HALL, 63478 COUNTY HIGHWAY C, MARENGO, WI, 54855"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 007,414058,"BRETTING COMMUNITY CENTER, 400 4TH AVE W, ASHLAND, WI, 54806"
WI,ASHLAND,TOWN OF GORDON,ASHLAND - TOWN OF GORDON - WARD 001,417493,NA
WI,ASHLAND,TOWN OF MORSE,ASHLAND - TOWN OF MORSE - WARD 003,1578846,NA
WI,ASHLAND,TOWN OF SHANAGOLDEN,ASHLAND - TOWN OF SHANAGOLDEN - WARD 001,418288,"SHANAGOLDEN TOWN HALL, 74268 MERTIG RD, GLIDDEN, WI, 54527"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 004,415251,"WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND, 2100 BEASER AVE, ASHLAND, WI, 54806"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 002,415772,NA
WI,ASHLAND,TOWN OF GORDON,ASHLAND - TOWN OF GORDON - WARD 002,1578844,"GORDON TOWN HALL, 24357 GORDON LAKE RD, GLIDDEN, WI, 54527"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 011,415311,"BRETTING COMMUNITY CENTER, 400 4TH AVE W, ASHLAND, WI, 54806"
WI,ASHLAND,TOWN OF SANBORN,ASHLAND - TOWN OF SANBORN - WARD 001,415512,NA
WI,ASHLAND,TOWN OF GINGLES,ASHLAND - TOWN OF GINGLES - WARD 001,415912,"GINGLES TOWN HALL, 49833 STATE HIGHWAY 112, ASHLAND, WI, 54806"
WI,ASHLAND,TOWN OF LA POINTE,ASHLAND - TOWN OF LA POINTE - WARD 001,417304,"LA POINTE TOWN HALL, 240 BIG BAY RD, LA POINTE, WI, 54850"
WI,ASHLAND,TOWN OF PEEKSVILLE,ASHLAND - TOWN OF PEEKSVILLE - WARD 001,418254,"PEEKSVILLE TOWN HALL, 78746 PEEKSVILLE RD, BUTTERNUT, WI, 54514"
WI,ASHLAND,TOWN OF JACOBS,ASHLAND - TOWN OF JACOBS - WARD 001,415329,"JACOBS TOWN HALL, 23 N GRANT ST, GLIDDEN, WI, 54527"
WI,ASHLAND,TOWN OF MORSE,ASHLAND - TOWN OF MORSE - WARD 001,417707,"MORSE TOWN HALL, 402 2ND AVE, MELLEN, WI, 54546"
WI,ASHLAND,TOWN OF MORSE,ASHLAND - TOWN OF MORSE - WARD 002,418166,NA
WI,ASHLAND,TOWN OF PEEKSVILLE,ASHLAND - TOWN OF PEEKSVILLE - WARD 002,1578847,"PEEKSVILLE TOWN HALL, 78746 PEEKSVILLE RD, BUTTERNUT, WI, 54514"
